cust_id,recency,frequency,monetary,avg_order_value,spend_per_day,loyalty_score
346.0,50,20,757.3000000000001,37.865,14.849019607843138,15146.000000000002
349.0,29,7,922.6,131.8,30.753333333333334,6458.2
353.0,283,1,2216.4,2216.4,7.8042253521126765,2216.4
358.0,264,1,1276.4,1276.4,4.816603773584906,1276.4
364.0,79,3,285.4,95.13333333333333,3.5675,856.1999999999999
366.0,278,2,10392.2,5196.1,37.24802867383513,20784.4
380.0,136,12,4036.6000000000004,336.3833333333334,29.46423357664234,48439.200000000004
390.0,50,11,1039.7,94.51818181818182,20.386274509803922,11436.7
391.0,344,1,832.8,832.8,2.4139130434782605,832.8
395.0,150,12,1575.0,131.25,10.43046357615894,18900.0
411.0,62,3,570.2,190.0666666666667,9.050793650793652,1710.6000000000001
417.0,321,2,1199.6,599.8,3.7254658385093165,2399.2
420.0,88,4,1307.1999999999998,326.79999999999995,14.6876404494382,5228.799999999999
423.0,159,8,27051.6,3381.45,169.0725,216412.8
424.0,288,1,209.70000000000002,209.70000000000002,0.72560553633218,209.70000000000002
430.0,83,4,3578.0,894.5,42.595238095238095,14312.0
441.0,36,2,439.6,219.8,11.881081081081081,879.2
451.0,279,1,312.0,312.0,1.1142857142857143,312.0
459.0,15,56,205388.7,3667.655357142857,12836.79375,11501767.200000001
463.0,155,4,13800.0,3450.0,88.46153846153847,55200.0
464.0,253,15,6160.28,410.6853333333333,24.25307086614173,92404.2
469.0,254,1,150.0,150.0,0.5882352941176471,150.0
470.0,292,1,54.9,54.9,0.18737201365187714,54.9
473.0,359,12,10150.0,845.8333333333334,28.194444444444443,121800.0
477.0,82,1,59.8,59.8,0.7204819277108433,59.8
479.0,26,171,62647.898,366.36197660818715,2320.2925185185186,10712790.558
481.0,85,4,12779.8,3194.95,148.60232558139535,51119.2
483.0,292,21,1782.3,84.87142857142857,6.082935153583618,37428.299999999996
484.0,275,2,155.8,77.9,0.5644927536231884,311.6
485.0,285,30,4487.9,149.59666666666666,15.69195804195804,134637.0
490.0,321,1,417.8,417.8,1.2975155279503106,417.8
500.0,15,25,41502.6,1660.104,2593.9125,1037565.0
514.0,77,40,5286.85,132.17125000000001,67.78012820512821,211474.0
516.0,279,1,169.8,169.8,0.6064285714285714,169.8
531.0,323,2,349.6,174.8,1.0790123456790124,699.2
533.0,285,3,3157.8,1052.6000000000001,11.041258741258742,9473.400000000001
536.0,69,9,705.4,78.37777777777778,10.077142857142857,6348.599999999999
537.0,67,11,16691.8,1517.4363636363635,245.46764705882353,183609.8
546.0,321,1,306.0,306.0,0.9503105590062112,306.0
550.0,82,13,5094.0,391.84615384615387,61.373493975903614,66222.0
553.0,280,11,13377.8,1216.1636363636362,47.60782918149466,147155.8
555.0,63,18,2317.4,128.74444444444444,36.209375,41713.200000000004
556.0,45,8,1657.4,207.175,36.0304347826087,13259.2
559.0,246,15,31522.4,2101.4933333333333,127.62105263157895,472836.0
562.0,119,4,1865.8,466.45,15.548333333333334,7463.2
566.0,136,14,4743.3,338.8071428571429,34.62262773722628,66406.2
567.0,92,15,12332.140000000001,822.1426666666667,132.6036559139785,184982.1
572.0,30,2,2538.8,1269.4,81.8967741935484,5077.6
573.0,37,1,19599.8,19599.8,515.7842105263157,19599.8
575.0,68,2,5473.4,2736.7,79.32463768115942,10946.8
579.0,123,25,1472.5,58.9,11.875,36812.5
582.0,285,1,1105.0,1105.0,3.8636363636363638,1105.0
586.0,85,1,379.8,379.8,4.416279069767442,379.8
588.0,10,9,1131.2,125.6888888888889,102.83636363636364,10180.800000000001
595.0,254,7,107498.29999999999,15356.899999999998,421.56196078431367,752488.0999999999
596.0,167,2,14400.0,7200.0,85.71428571428571,28800.0
601.0,138,9,6419.0,713.2222222222222,46.17985611510792,57771.0
609.0,321,3,3420.0,1140.0,10.621118012422361,10260.0
629.0,4,9,1463.225,162.58055555555555,292.645,13169.025
647.0,105,1,209.8,209.8,1.979245283018868,209.8
652.0,45,9,33491.799999999996,3721.3111111111107,728.0826086956521,301426.19999999995
668.0,236,1,149.8,149.8,0.6320675105485233,149.8
672.0,271,1,260.0,260.0,0.9558823529411765,260.0
674.0,268,4,541.6,135.4,2.013382899628253,2166.4
675.0,223,1,149.8,149.8,0.6687500000000001,149.8
685.0,20,39,19884.638,509.8625128205128,946.8875238095237,775500.882
688.0,330,1,255.0,255.0,0.770392749244713,255.0
690.0,266,13,33780.4,2598.492307692308,126.51835205992509,439145.2
710.0,164,1,1805.2,1805.2,10.940606060606061,1805.2
711.0,61,14,6271.8,447.9857142857143,101.15806451612903,87805.2
719.0,107,9,13081.800000000001,1453.5333333333335,121.1277777777778,117736.20000000001
720.0,115,2,6071.1,3035.55,52.33706896551725,12142.2
749.0,160,18,2214.7,123.03888888888888,13.75590062111801,39864.6
750.0,250,3,2361.1000000000004,787.0333333333334,9.406772908366536,7083.300000000001
751.0,121,6,65015.0,10835.833333333334,532.9098360655738,390090.0
753.0,15,9,2288.6,254.2888888888889,143.0375,20597.399999999998
758.0,196,9,1640.8000000000002,182.31111111111113,8.328934010152285,14767.2
766.0,278,1,544.2,544.2,1.9505376344086023,544.2
767.0,279,4,11258.800000000001,2814.7000000000003,40.21,45035.200000000004
768.0,10,1,12.4,12.4,1.1272727272727272,12.4
772.0,276,1,1117.5,1117.5,4.034296028880866,1117.5
775.0,101,2,220.6,110.3,2.1627450980392156,441.2
777.0,16,35,6863.400000000001,196.09714285714287,403.7294117647059,240219.00000000003
779.0,5,13,2848.6,219.12307692307692,474.76666666666665,37031.799999999996
791.0,274,5,2292.2,458.43999999999994,8.335272727272727,11461.0
797.0,275,13,23277.9,1790.6076923076923,84.34021739130435,302612.7
798.0,14,23,30250.5,1315.2391304347825,2016.7,695761.5
